Distance_km,Day_of_Week,Month,Fare_price
37.454011884736246,Wednesday,February,57.780894219211916
95.07143064099162,Tuesday,June,148.76841444729246
73.1993941811405,Tuesday,February,116.26445363820416
59.86584841970366,Wednesday,February,91.22701553942365
15.601864044243651,Sunday,February,37.73166862208926
15.599452033620265,Saturday,November,30.768342654989333
5.8083612168199465,Wednesday,March,7.756024339216677
86.61761457749351,Friday,February,138.20918990940942
60.11150117432088,Friday,April,90.2938434103447
70.80725777960456,Tuesday,September,115.14630968811909
2.0584494295802447,Thursday,June,13.880652039407387
96.99098521619943,Saturday,January,146.3830662325406
83.24426408004217,Tuesday,August,134.68327676628488
21.233911067827616,Thursday,December,38.91477123642392
18.182496720710063,Thursday,July,36.384045881037544
18.34045098534338,Friday,October,41.99464139128481
30.42422429595377,Sunday,March,49.40939586391631
52.475643163223786,Monday,January,79.94478392304823
43.194501864211574,Sunday,May,65.34418064818973
29.122914019804192,Monday,April,44.60531960487909
61.18528947223795,Wednesday,October,96.39242566128641
13.949386065204184,Friday,August,27.629838971889498
29.214464853521815,Thursday,January,50.20515127693282
36.63618432936917,Saturday,October,64.09019273923387
45.606998421703594,Monday,January,73.47550709194492
78.51759613930136,Sunday,December,130.04406459473861
19.967378215835975,Thursday,April,33.62778315756418
51.42344384136116,Monday,August,95.73601159498983
59.24145688620425,Monday,May,96.9905220681314
4.645041271999773,Monday,February,7.681774125918246
60.75448519014384,Saturday,June,90.7772652949102
17.052412368729154,Friday,May,32.99098062930966
6.505159298527952,Saturday,February,13.640425021162674
94.88855372533332,Tuesday,November,150.90283305846043
96.56320330745594,Thursday,November,152.21099308405164
80.83973481164611,Friday,November,125.8954576541848
30.46137691733707,Friday,March,46.45809678566358
9.767211400638388,Friday,September,12.076580977528259
68.42330265121569,Sunday,July,105.40237921648843
44.01524937396013,Friday,July,75.30486803255756
12.203823484477883,Saturday,November,24.37620394736785
49.51769101112702,Friday,June,73.04784262313059
3.4388521115218396,Wednesday,August,11.02418279653867
90.9320402078782,Thursday,April,143.32464721046148
25.87799816000169,Friday,August,39.39771005899687
66.2522284353982,Thursday,April,105.14696818282493
31.171107608941096,Wednesday,August,52.04770500564164
52.00680211778108,Wednesday,September,77.29535168751849
54.67102793432797,Thursday,March,88.79547870323336
18.485445552552704,Monday,March,35.53209096067023
96.95846277645586,Tuesday,November,155.85295038056017
77.51328233611146,Sunday,February,126.5389337643417
93.9498941564189,Monday,October,139.03649439484292
89.48273504276489,Monday,March,134.53497736457172
59.78999788110851,Saturday,March,97.26017315770606
92.18742350231169,Sunday,May,145.8500650080286
8.84925020519195,Sunday,May,20.849113739318163
19.59828624191452,Monday,February,53.661086816145385
4.522728891053807,Friday,December,14.638545890046545
32.53303307632643,Saturday,October,59.47737781539264
38.8677289689482,Saturday,June,68.0716022708883
27.134903177389592,Wednesday,May,48.95931102261338
82.87375091519293,Sunday,June,127.73428014958766
35.67533266935893,Monday,January,62.30784510650473
28.093450968738075,Wednesday,May,43.27605038041926
54.26960831582485,Thursday,September,85.22031944003723
14.092422497476264,Tuesday,December,23.71181600706888
80.21969807540397,Saturday,October,125.73891781003756
7.455064367977082,Thursday,February,27.755889385333166
98.68869366005173,Thursday,January,143.69671452711884
77.22447692966574,Friday,October,124.26801634637118
19.87156815341724,Tuesday,November,26.7437728741776
0.5522117123602399,Thursday,September,3.4686582395931924
81.54614284548342,Thursday,October,132.76396725306196
70.68573438476172,Tuesday,September,111.3500016726199
72.90071680409874,Tuesday,September,108.96235131650157
77.12703466859458,Thursday,June,117.11403345659203
7.4044651734090365,Tuesday,August,19.504686504786935
35.84657285442726,Thursday,November,55.11802612305521
11.586905952512971,Thursday,January,23.46265187667933
86.31034258755935,Friday,October,134.69337308085807
62.329812682755794,Monday,April,95.23671728610461
33.08980248526492,Thursday,January,65.354424174524
6.355835028602364,Wednesday,August,17.7033476544936
31.09823217156622,Saturday,January,41.52163532406129
32.518332202674706,Sunday,March,54.709769877859195
72.96061783380641,Monday,April,111.13199442686768
63.75574713552131,Monday,August,104.89578737726308
88.72127425763266,Monday,June,134.11930769428548
47.22149251619493,Friday,October,75.25855656695789
11.959424593830171,Thursday,December,25.464073285647544
71.3244787222995,Friday,July,116.31549405429988
76.07850486168974,Thursday,August,113.11627525725572
56.127719756949624,Friday,February,87.51907345621969
77.0967179954561,Friday,October,118.27035043737936
49.379559636439076,Saturday,November,75.80269329179006
52.27328293819941,Wednesday,August,92.2371956087046
42.75410183585496,Friday,March,71.15606130858723
2.541912674409519,Saturday,July,2.5084492399390523
10.789142699330444,Tuesday,March,25.773023784269547
3.142918568673425,Wednesday,July,20.325158838073303
63.64104112637804,Friday,November,105.62388799232279
31.435598107632668,Sunday,December,44.556547331678935
50.85706911647028,Monday,February,78.86443331037415
90.7566473926093,Tuesday,October,147.46952683484704
24.929222914887493,Tuesday,June,38.855487044237336
41.038292303562976,Saturday,March,68.7765355960756
75.55511385430486,Tuesday,March,122.20584104860399
22.879816549162246,Wednesday,September,34.685072465852954
7.697990982879299,Friday,July,16.24935969400995
28.9751452913768,Friday,May,32.25638123671983
16.122128725400444,Sunday,December,24.061254881429218
92.96976523425731,Monday,October,143.19180709442017
80.8120379564417,Saturday,July,119.9791410248383
63.34037565104234,Monday,September,108.1726199962217
87.14605901877177,Tuesday,January,128.56838163835448
80.36720768991145,Sunday,July,123.35058910138225
18.657005888603585,Monday,June,33.63921171933584
89.25589984899777,Wednesday,October,146.09021621882724
53.93422419156507,Friday,December,78.72202553145041
80.74401551640625,Tuesday,September,131.93184203538416
89.60912999234932,Sunday,January,139.4648602936219
31.800347497186387,Monday,April,47.792977990539825
11.005192452767677,Saturday,September,23.81830605046787
22.793516254194166,Wednesday,April,40.1855728591586
42.71077886262563,Wednesday,October,66.06508390814447
81.80147659224932,Monday,March,128.05122531332407
86.07305832563435,Friday,September,132.18301950414272
0.6952130531190703,Monday,February,6.610406305934846
51.07473025775657,Tuesday,April,84.92274875924008
41.7411003148779,Monday,June,75.54173455304361
22.210781047073024,Wednesday,February,32.12709407647529
11.98653673336828,Sunday,August,33.64497197333375
33.7615171403628,Monday,August,45.88183671293169
94.29097039125192,Friday,January,145.67753011169998
32.320293202075526,Sunday,December,56.42202583553617
51.87906217433661,Saturday,March,84.22355260018008
70.30189588951778,Thursday,October,107.3393462351737
36.3629602379294,Monday,September,58.50382910510773
97.17820827209607,Friday,May,148.30230773484993
96.24472949421113,Sunday,June,146.42027045659563
25.178229582536417,Friday,April,47.015354858909745
49.72485058923854,Saturday,October,81.37235331368305
30.087830981676966,Wednesday,February,46.66719849621217
28.484049437746762,Friday,November,52.224073533786395
3.6886947354532795,Sunday,August,12.069539707562967
60.956433397989684,Friday,November,100.49896069117932
50.26790232288615,Friday,June,83.54999769394729
5.147875124998935,Friday,May,8.576837632888042
27.864646423661142,Tuesday,September,43.99606443450686
90.82658859666537,Tuesday,January,144.97635092061438
23.95618906669724,Wednesday,May,43.986134927213186
14.48948720912231,Monday,June,26.629722843862723
48.9452760277563,Friday,May,79.00455095817836
98.56504541106007,Saturday,June,159.23589259553222
24.20552715115004,Monday,June,38.35043378254591
67.21355474058785,Saturday,July,108.55581901673197
76.16196153287176,Monday,April,118.23197903713816
23.763754399239968,Wednesday,November,39.557225582723845
72.82163486118596,Friday,August,119.7263365517149
36.77831327192532,Friday,July,64.29455165282812
63.23058305935795,Thursday,September,103.91342276904011
63.35297107608947,Saturday,July,106.55685064990585
53.57746840747585,Monday,March,85.47122181937756
9.02897700544083,Monday,March,21.953230364636063
83.5302495589238,Tuesday,August,128.74404055541842
32.07800649717358,Thursday,May,54.73784150820258
18.651851039985424,Sunday,April,32.32706128813972
4.077514155476392,Sunday,August,11.601251058178178
59.08929431882418,Tuesday,June,96.60972660542083
67.75643618422824,Tuesday,February,102.543550860175
1.6587828927856152,Tuesday,April,17.950110717605725
51.2093058299281,Saturday,December,76.78387183739363
22.649577519793795,Saturday,November,32.90342321575203
64.51727904094498,Wednesday,April,107.56647292891782
17.436642900499145,Wednesday,June,35.1132778205634
69.09377381024659,Tuesday,June,111.76125980063065
38.67353463005374,Thursday,January,66.152029491402
93.67299887367345,Monday,August,145.4482644462756
13.752094414599325,Saturday,June,21.14186976446983
34.10663510502585,Thursday,March,56.538975448507415
11.347352124058908,Friday,September,18.635219628527803
92.46936182785628,Saturday,February,148.57964140887316
87.7339353380981,Saturday,November,135.86561609963647
25.79416277151556,Wednesday,August,39.56375817331078
65.99840460341791,Monday,October,102.3906776968619
81.72222002012158,Monday,March,129.64798730156048
55.52008115994623,Sunday,December,85.46149897589946
52.965057835600646,Sunday,May,80.3364847755688
24.18522909004517,Sunday,June,42.49627969252732
9.310276780589922,Sunday,October,20.190248026428495
89.72157579533267,Friday,June,137.04764781614335
90.04180571633304,Friday,April,137.70751704640796
63.31014572732679,Saturday,March,101.12546827777837
33.90297910487007,Tuesday,April,48.61404694981849
34.92095746126609,Wednesday,January,50.344117320016366
72.59556788702393,Wednesday,April,110.30113072427372
89.71102599525771,Sunday,January,138.49930323432733
88.70864242651173,Saturday,December,139.61750146775762
77.98755458576238,Thursday,January,129.35811296339133
